Time (rel/ms),Date,Time,Type,No.,Phase,Day,duration,System,Channel,F,Fm,PAR,Y(II),ETR
269349340,2022-03-23T23:00:00Z,1899-12-31T14:50:09Z,FO,256,stress,1,1,AMV,C39,565,1255,0,0.550,0.0
269356260,2022-03-23T23:00:00Z,1899-12-31T14:50:16Z,FO,257,stress,1,1,AMV,C39,453,959,0,0.528,0.0
269364240,2022-03-23T23:00:00Z,1899-12-31T14:50:24Z,FO,258,stress,1,1,AMV,C39,91,226,0,0.597,0.0
269371960,2022-03-23T23:00:00Z,1899-12-31T14:50:31Z,FO,259,stress,1,1,AMV,C39,281,720,0,0.610,0.0
269376080,2022-03-23T23:00:00Z,1899-12-31T14:50:36Z,FO,260,stress,1,1,,,234,234,0,0.000,0.0
269386700,2022-03-23T23:00:00Z,1899-12-31T14:50:46Z,FO,261,stress,1,1,AMV,C40,351,861,0,0.592,0.0
269394200,2022-03-23T23:00:00Z,1899-12-31T14:50:54Z,FO,262,stress,1,1,AMV,C40,375,823,0,0.544,0.0
269400620,2022-03-23T23:00:00Z,1899-12-31T14:51:00Z,FO,263,stress,1,1,AMV,C40,260,704,0,0.631,0.0
269410440,2022-03-23T23:00:00Z,1899-12-31T14:51:10Z,FO,264,stress,1,1,AMV,C40,360,849,0,0.576,0.0
269416320,2022-03-23T23:00:00Z,1899-12-31T14:51:16Z,FO,265,stress,1,1,,,239,239,0,0.000,0.0
269432320,2022-03-23T23:00:00Z,1899-12-31T14:51:32Z,FO,266,stress,1,1,AMV,C41,358,863,0,0.585,0.0
269441160,2022-03-23T23:00:00Z,1899-12-31T14:51:41Z,FO,267,stress,1,1,AMV,C41,71,80,0,0.113,0.0
269454060,2022-03-23T23:00:00Z,1899-12-31T14:51:54Z,FO,268,stress,1,1,AMV,C41,149,480,0,0.690,0.0
269463180,2022-03-23T23:00:00Z,1899-12-31T14:52:03Z,FO,269,stress,1,1,AMV,C41,195,720,0,0.729,0.0
269483660,2022-03-23T23:00:00Z,1899-12-31T14:52:23Z,FO,270,stress,1,1,,,10,10,0,-,-
269494820,2022-03-23T23:00:00Z,1899-12-31T14:52:34Z,FO,271,stress,1,1,AMV,C42,453,992,0,0.543,0.0
